Study_Hours,Attendance,Previous_Marks,Coaching_Class,Sleep_Hours,Sports_Activity,Learning_Resources,Internet_Access,Peer_Influence,Parent_Education,Distance_From_School,Gender,Concept_Clarity,Explanation_Quality,Student_Interaction,Lab_Facility,Lab_Timing,Performance
18,79,64,1,6,3,5,1,Medium,Postgraduate,Near,Male,Good,Good,High,2,2,Good
6,45,21,1,4,1,1,1,Low,Graduate,Medium,Male,Poor,Poor,Low,1,3,Poor
18,66,55,1,7,2,2,1,High,School,Medium,Female,Good,Good,High,1,0,Good
2,32,8,1,5,0,2,0,Medium,Graduate,Far,Female,Poor,Poor,Low,5,2,Poor
24,99,89,0,8,3,3,1,Medium,Postgraduate,Near,Female,Excellent,Excellent,High,4,3,Excellent
5,21,28,1,4,1,5,0,High,Postgraduate,Near,Male,Poor,Poor,Low,3,3,Poor
37,89,92,1,8,2,1,0,High,Postgraduate,Far,Female,Excellent,Excellent,High,0,3,Excellent
13,67,39,0,6,2,5,1,Medium,Graduate,Medium,Female,Average,Average,Medium,5,3,Average
25,85,96,0,8,3,1,1,Medium,School,Far,Female,Excellent,Excellent,High,2,1,Excellent
4,24,35,1,5,1,2,0,Low,Postgraduate,Medium,Male,Poor,Poor,Low,5,2,Poor
24,82,88,1,8,3,3,1,High,School,Far,Male,Excellent,Excellent,High,3,1,Excellent
21,78,70,0,6,2,4,1,Low,School,Near,Female,Good,Good,High,0,3,Good
23,78,67,1,6,2,4,1,High,Postgraduate,Far,Male,Good,Good,High,4,1,Good
20,65,77,1,7,2,4,1,Low,Graduate,Near,Female,Good,Good,High,3,1,Good
33,83,82,1,8,2,5,0,Low,School,Medium,Male,Excellent,Excellent,High,4,1,Excellent
38,87,84,1,8,4,4,1,High,Postgraduate,Near,Female,Excellent,Excellent,High,0,2,Excellent
21,72,75,1,7,3,1,1,High,School,Far,Female,Good,Good,High,1,0,Good
10,59,40,0,6,1,4,1,High,Postgraduate,Near,Male,Average,Average,Medium,3,3,Average
14,57,40,1,5,1,2,1,Medium,Postgraduate,Medium,Female,Average,Average,Medium,2,2,Average
35,97,83,0,8,2,1,0,Medium,Postgraduate,Far,Female,Excellent,Excellent,High,2,0,Excellent
28,87,96,1,8,3,5,1,High,Graduate,Far,Male,Excellent,Excellent,High,2,2,Excellent
8,63,55,1,6,2,5,1,Medium,Postgraduate,Medium,Female,Average,Average,Medium,3,3,Average
8,67,58,1,6,1,3,1,Medium,Graduate,Medium,Female,Average,Average,Medium,3,0,Average
31,85,93,0,8,4,1,0,High,Graduate,Near,Male,Excellent,Excellent,High,3,3,Excellent
20,84,76,0,7,3,4,1,Low,School,Far,Male,Good,Good,High,2,2,Good
21,78,69,1,6,2,4,0,High,Postgraduate,Medium,Male,Good,Good,High,5,0,Good
10,51,44,0,6,1,1,0,Low,Graduate,Medium,Male,Average,Average,Medium,4,2,Average
10,63,36,1,5,1,4,1,Medium,School,Near,Male,Average,Average,Medium,4,3,Average
25,95,89,0,7,2,3,0,Medium,School,Near,Male,Excellent,Excellent,High,2,1,Excellent
11,65,39,1,6,2,2,1,Medium,Postgraduate,Near,Female,Average,Average,Medium,4,1,Average
21,68,66,0,7,2,5,1,High,Postgraduate,Far,Female,Good,Good,High,3,0,Good
30,97,91,1,7,3,1,1,Low,School,Medium,Female,Excellent,Excellent,High,5,0,Excellent
17,77,69,0,6,2,3,1,Medium,School,Medium,Male,Good,Good,High,1,0,Good
18,79,56,0,7,2,5,0,Low,Postgraduate,Medium,Male,Good,Good,High,4,2,Good
23,66,73,1,7,2,4,1,Medium,Graduate,Near,Male,Good,Good,High,2,2,Good
5,30,6,0,4,0,3,1,High,School,Medium,Male,Poor,Poor,Low,4,0,Poor
26,82,85,0,8,4,1,1,High,Graduate,Far,Female,Excellent,Excellent,High,2,0,Excellent
20,73,67,1,7,3,5,0,Low,Graduate,Near,Male,Good,Good,High,0,3,Good
36,88,96,0,8,2,5,0,Low,Graduate,Far,Female,Excellent,Excellent,High,0,1,Excellent
15,67,65,0,6,3,4,1,High,Postgraduate,Far,Male,Good,Good,High,2,3,Good
19,68,73,0,7,3,1,1,High,Graduate,Near,Female,Good,Good,High,3,3,Good
21,80,56,1,6,2,5,0,High,Graduate,Far,Male,Good,Good,High,5,1,Good
33,86,79,0,7,4,2,1,Medium,School,Medium,Female,Excellent,Excellent,High,5,2,Excellent
5,47,20,1,5,0,4,1,Medium,Postgraduate,Near,Male,Poor,Poor,Low,3,2,Poor
34,84,75,1,8,2,5,0,Medium,Postgraduate,Medium,Female,Excellent,Excellent,High,4,1,Excellent
3,49,32,0,3,1,2,0,High,School,Medium,Female,Poor,Poor,Low,4,3,Poor
2,40,5,0,3,1,3,0,Low,Graduate,Far,Male,Poor,Poor,Low,3,2,Poor
31,92,95,1,7,4,3,1,Low,School,Near,Female,Excellent,Excellent,High,5,2,Excellent
16,68,67,1,6,2,4,1,Medium,Graduate,Near,Male,Good,Good,High,1,3,Good
32,97,77,0,7,4,2,0,High,School,Far,Male,Excellent,Excellent,High,2,2,Excellent
21,69,56,0,6,3,2,1,Medium,Postgraduate,Far,Male,Good,Good,High,3,2,Good
15,64,54,0,5,2,3,0,Low,Postgraduate,Far,Female,Average,Average,Medium,0,0,Average
18,79,57,1,7,3,1,1,Low,Postgraduate,Far,Male,Good,Good,High,5,3,Good
7,42,6,0,3,0,2,0,Low,Graduate,Far,Male,Poor,Poor,Low,5,1,Poor
4,32,25,0,3,1,5,0,High,Graduate,Medium,Male,Poor,Poor,Low,4,0,Poor
17,67,76,0,6,3,3,0,Medium,School,Near,Male,Good,Good,High,2,3,Good
10,51,42,0,6,1,3,1,High,Postgraduate,Near,Female,Average,Average,Medium,0,2,Average
5,40,33,0,3,0,1,0,Medium,Postgraduate,Far,Female,Poor,Poor,Low,4,0,Poor
8,62,40,1,5,2,4,0,Medium,School,Far,Male,Average,Average,Medium,4,2,Average
31,90,81,0,7,2,4,0,Low,Postgraduate,Medium,Female,Excellent,Excellent,High,4,1,Excellent
33,98,82,1,8,4,1,0,High,Postgraduate,Near,Female,Excellent,Excellent,High,3,2,Excellent
33,96,91,1,8,2,4,1,Low,Graduate,Far,Female,Excellent,Excellent,High,0,1,Excellent
16,69,65,0,7,3,5,0,High,Postgraduate,Far,Male,Good,Good,High,5,0,Good
6,42,5,0,3,1,1,1,High,Graduate,Near,Female,Poor,Poor,Low,0,1,Poor
20,67,63,0,7,2,3,0,Low,School,Near,Female,Good,Good,High,0,2,Good
12,65,57,1,6,1,5,1,Medium,School,Medium,Female,Average,Average,Medium,5,2,Average
28,84,97,1,7,2,3,1,Low,Postgraduate,Near,Female,Excellent,Excellent,High,2,1,Excellent
4,23,22,0,5,0,5,0,Low,Graduate,Medium,Female,Poor,Poor,Low,1,3,Poor
9,55,51,0,6,1,1,0,High,School,Far,Female,Average,Average,Medium,0,1,Average
6,48,30,0,3,1,3,0,Medium,Graduate,Near,Female,Poor,Poor,Low,5,1,Poor
19,72,79,1,7,3,3,0,Low,Postgraduate,Medium,Male,Good,Good,High,0,1,Good
16,79,63,0,7,3,1,1,Medium,Postgraduate,Medium,Male,Good,Good,High,5,2,Good
16,67,56,1,6,3,5,0,Medium,Postgraduate,Medium,Female,Good,Good,High,4,3,Good
22,72,69,1,7,3,1,1,High,School,Far,Male,Good,Good,High,5,2,Good
16,71,58,0,7,2,2,0,Low,Graduate,Near,Male,Good,Good,High,1,1,Good
23,74,55,0,7,3,2,0,High,School,Far,Female,Good,Good,High,3,3,Good
7,36,3,1,3,0,1,1,Low,Graduate,Near,Male,Poor,Poor,Low,2,0,Poor
20,77,75,0,6,2,4,1,High,Graduate,Medium,Male,Good,Good,High,0,1,Good
15,81,78,0,6,3,1,0,Medium,Postgraduate,Far,Male,Good,Good,High,3,3,Good
34,92,80,1,8,4,2,0,High,School,Far,Female,Excellent,Excellent,High,5,2,Excellent
39,98,75,0,8,3,5,0,Low,Postgraduate,Far,Male,Excellent,Excellent,High,0,1,Excellent
32,99,84,1,8,3,3,0,Medium,Postgraduate,Far,Male,Excellent,Excellent,High,4,3,Excellent
19,81,56,1,6,2,5,0,Low,Postgraduate,Near,Female,Good,Good,High,5,0,Good
6,35,20,0,3,0,5,1,Medium,Graduate,Medium,Male,Poor,Poor,Low,0,1,Poor
20,67,61,0,7,2,4,0,Low,Graduate,Near,Male,Good,Good,High,5,3,Good
5,22,24,0,5,1,3,1,High,School,Far,Female,Poor,Poor,Low,1,3,Poor
37,91,83,1,8,4,3,1,High,Postgraduate,Medium,Male,Excellent,Excellent,High,5,3,Excellent
1,42,39,1,5,0,1,0,Medium,Graduate,Far,Male,Poor,Poor,Low,3,2,Poor
30,86,97,1,8,3,1,1,Low,School,Near,Female,Excellent,Excellent,High,3,3,Excellent
34,98,96,1,8,3,1,1,High,Postgraduate,Near,Male,Excellent,Excellent,High,2,3,Excellent
16,67,55,1,7,2,5,1,Low,Graduate,Medium,Male,Good,Good,High,4,2,Good
27,95,98,0,8,3,1,0,High,Graduate,Near,Female,Excellent,Excellent,High,4,0,Excellent
17,68,79,0,7,2,4,1,Low,Graduate,Medium,Male,Good,Good,High,5,0,Good
29,99,86,0,8,3,5,0,Low,Postgraduate,Medium,Male,Excellent,Excellent,High,5,0,Excellent
30,96,88,0,8,4,4,1,Medium,School,Far,Male,Excellent,Excellent,High,5,3,Excellent
29,93,95,1,7,4,3,0,Medium,School,Far,Male,Excellent,Excellent,High,4,2,Excellent
4,38,16,1,3,0,5,1,Low,Postgraduate,Far,Female,Poor,Poor,Low,0,3,Poor
39,85,99,1,8,2,1,1,High,Postgraduate,Medium,Male,Excellent,Excellent,High,2,3,Excellent
37,94,82,1,8,4,3,1,High,Postgraduate,Far,Male,Excellent,Excellent,High,0,0,Excellent
16,79,56,0,6,3,4,0,Low,Postgraduate,Near,Female,Good,Good,High,2,3,Good
22,71,73,0,7,2,1,0,Low,School,Far,Female,Good,Good,High,1,1,Good
18,84,79,0,7,3,3,0,Medium,Postgraduate,Near,Female,Good,Good,High,0,0,Good
8,55,47,0,5,2,1,1,High,Graduate,Near,Female,Average,Average,Medium,2,0,Average
36,87,97,1,7,2,1,1,Low,Graduate,Near,Female,Excellent,Excellent,High,2,0,Excellent
26,99,82,0,8,3,3,1,Low,Postgraduate,Near,Male,Excellent,Excellent,High,2,1,Excellent
14,64,55,1,5,1,5,1,Low,School,Near,Female,Average,Average,Medium,5,2,Average
15,78,74,0,6,3,2,1,Low,Postgraduate,Medium,Male,Good,Good,High,4,0,Good
24,75,62,0,7,3,2,1,Low,Postgraduate,Near,Male,Good,Good,High,4,0,Good
23,66,64,1,7,2,2,0,High,School,Far,Male,Good,Good,High,1,2,Good
28,90,81,0,8,4,4,0,High,School,Far,Female,Excellent,Excellent,High,5,0,Excellent
11,54,45,0,6,2,1,1,High,Graduate,Medium,Female,Average,Average,Medium,3,3,Average
27,93,77,1,7,3,5,1,Medium,School,Near,Female,Excellent,Excellent,High,3,3,Excellent
24,65,62,1,6,3,2,0,Medium,School,Medium,Female,Good,Good,High,1,0,Good
2,49,15,1,4,0,4,0,Low,Postgraduate,Near,Male,Poor,Poor,Low,3,1,Poor
26,91,98,0,8,2,4,1,Medium,Postgraduate,Far,Female,Excellent,Excellent,High,4,3,Excellent
25,95,85,1,7,4,1,0,Low,Graduate,Medium,Male,Excellent,Excellent,High,3,2,Excellent
16,78,74,1,6,2,3,1,Medium,Graduate,Medium,Female,Good,Good,High,4,3,Good
21,72,65,1,7,2,3,1,Medium,Postgraduate,Near,Female,Good,Good,High,4,3,Good
9,55,43,0,6,2,1,0,Low,School,Near,Female,Average,Average,Medium,1,1,Average
33,98,95,1,7,3,2,1,Medium,School,Near,Male,Excellent,Excellent,High,4,3,Excellent
27,90,91,0,7,3,2,1,Low,School,Medium,Female,Excellent,Excellent,High,0,1,Excellent
10,47,53,0,5,2,5,0,Medium,Graduate,Medium,Male,Average,Average,Medium,5,1,Average
22,74,79,1,6,2,4,1,Medium,Graduate,Medium,Male,Good,Good,High,4,1,Good
9,62,52,1,6,2,3,0,Medium,Postgraduate,Far,Male,Average,Average,Medium,2,2,Average
14,64,50,1,6,2,5,0,High,School,Far,Female,Average,Average,Medium,2,0,Average
6,31,5,1,5,0,5,1,Medium,Postgraduate,Medium,Male,Poor,Poor,Low,0,1,Poor
30,94,85,1,8,4,1,1,Low,Postgraduate,Far,Male,Excellent,Excellent,High,0,2,Excellent
38,85,91,0,7,4,5,1,High,Postgraduate,Far,Male,Excellent,Excellent,High,3,1,Excellent
15,58,48,1,5,1,2,1,Low,School,Near,Female,Average,Average,Medium,5,0,Average
20,74,55,1,7,2,1,0,Low,School,Far,Male,Good,Good,High,2,1,Good
3,24,0,0,5,0,5,0,High,School,Near,Male,Poor,Poor,Low,4,2,Poor
22,73,65,1,6,3,3,0,Low,School,Far,Female,Good,Good,High,0,0,Good
19,65,75,0,6,3,1,1,Medium,Graduate,Medium,Male,Good,Good,High,4,1,Good
6,27,11,0,3,0,2,1,Low,School,Near,Female,Poor,Poor,Low,1,3,Poor
39,82,75,1,8,2,1,1,Medium,Postgraduate,Near,Male,Excellent,Excellent,High,2,0,Excellent
18,79,74,0,7,2,1,0,Low,Graduate,Medium,Female,Good,Good,High,4,2,Good
26,94,98,0,7,2,2,1,Medium,Graduate,Far,Female,Excellent,Excellent,High,4,3,Excellent
1,49,4,1,4,0,4,1,Medium,Postgraduate,Near,Male,Poor,Poor,Low,2,2,Poor
20,73,69,1,7,2,5,0,High,School,Near,Female,Good,Good,High,0,1,Good
1,28,16,0,5,1,2,1,High,Postgraduate,Near,Male,Poor,Poor,Low,4,1,Poor
15,62,48,0,5,1,4,0,Low,Postgraduate,Far,Male,Average,Average,Medium,5,2,Average
20,67,62,1,6,2,3,0,Medium,Graduate,Near,Male,Good,Good,High,1,3,Good
22,76,68,1,7,2,5,1,Low,School,Medium,Male,Good,Good,High,1,1,Good
22,78,69,1,7,3,3,1,Low,Graduate,Far,Male,Good,Good,High,0,2,Good
11,49,52,1,6,2,5,1,Low,Postgraduate,Near,Male,Average,Average,Medium,4,3,Average
6,48,10,0,4,0,2,1,High,Graduate,Near,Male,Poor,Poor,Low,1,0,Poor
25,87,81,0,8,2,2,0,Medium,Graduate,Medium,Female,Excellent,Excellent,High,2,1,Excellent
18,68,65,1,7,3,2,1,Low,School,Near,Female,Good,Good,High,1,2,Good
5,48,20,0,4,0,2,0,Medium,Graduate,Far,Male,Poor,Poor,Low,1,0,Poor
10,52,39,1,6,1,3,1,Low,School,Medium,Male,Average,Average,Medium,4,0,Average
7,49,29,0,3,0,5,1,Medium,School,Far,Male,Poor,Poor,Low,0,3,Poor
13,62,59,1,5,2,3,0,Medium,Postgraduate,Far,Female,Average,Average,Medium,3,2,Average
23,70,75,1,6,2,5,0,Medium,Graduate,Near,Female,Good,Good,High,0,2,Good
18,71,65,1,7,2,5,0,Medium,Graduate,Near,Female,Good,Good,High,5,2,Good
14,54,55,1,6,2,3,0,High,Graduate,Far,Female,Average,Average,Medium,1,1,Average
2,33,36,1,4,0,5,1,High,Postgraduate,Medium,Male,Poor,Poor,Low,3,0,Poor
20,83,78,0,7,3,5,1,Low,Postgraduate,Medium,Male,Good,Good,High,2,3,Good
25,91,94,0,7,4,2,1,Low,School,Near,Male,Excellent,Excellent,High,4,0,Excellent
20,79,64,1,6,2,4,1,High,School,Near,Male,Good,Good,High,5,3,Good
5,29,7,1,4,0,1,0,High,School,Far,Female,Poor,Poor,Low,5,0,Poor
29,96,85,1,7,4,2,1,High,School,Near,Female,Excellent,Excellent,High,0,2,Excellent
6,49,5,1,5,1,2,0,High,School,Far,Female,Poor,Poor,Low,4,1,Poor
34,96,89,1,7,4,3,1,High,Graduate,Near,Male,Excellent,Excellent,High,3,3,Excellent
22,69,65,1,7,3,2,1,High,Graduate,Near,Female,Good,Good,High,0,3,Good
17,66,66,0,7,2,3,1,Medium,School,Near,Female,Good,Good,High,5,3,Good
29,98,77,0,8,4,4,0,High,School,Near,Female,Excellent,Excellent,High,5,0,Excellent
26,82,81,1,7,2,2,1,High,School,Far,Male,Excellent,Excellent,High,1,3,Excellent
14,68,56,0,5,2,1,1,Medium,Graduate,Far,Male,Average,Average,Medium,3,3,Average
10,54,52,1,5,1,4,0,High,Graduate,Near,Female,Average,Average,Medium,5,1,Average
2,21,0,0,5,1,4,1,Low,Postgraduate,Far,Female,Poor,Poor,Low,4,1,Poor
15,67,69,0,7,3,5,0,Low,School,Near,Male,Good,Good,High,2,1,Good
20,70,74,1,6,3,3,0,Medium,Graduate,Medium,Male,Good,Good,High,3,1,Good
24,89,85,0,7,3,2,1,Medium,Graduate,Near,Female,Excellent,Excellent,High,0,2,Excellent
34,95,82,1,7,3,3,1,Low,School,Far,Female,Excellent,Excellent,High,4,1,Excellent
30,88,85,0,7,3,4,0,Medium,Postgraduate,Near,Male,Excellent,Excellent,High,3,0,Excellent
7,26,11,1,4,1,1,0,High,School,Far,Male,Poor,Poor,Low,5,1,Poor
3,32,35,1,4,0,3,1,High,Postgraduate,Near,Male,Poor,Poor,Low,1,2,Poor
23,81,79,1,6,3,5,0,High,Graduate,Medium,Female,Good,Good,High,4,0,Good
7,25,15,0,3,1,3,1,Medium,Postgraduate,Near,Male,Poor,Poor,Low,5,3,Poor
4,30,16,1,4,0,3,0,Medium,Graduate,Near,Female,Poor,Poor,Low,0,2,Poor
17,66,59,1,6,3,3,1,Medium,Graduate,Near,Male,Good,Good,High,1,2,Good
3,20,39,1,4,0,5,0,High,Postgraduate,Medium,Female,Poor,Poor,Low,1,3,Poor
21,74,58,0,6,3,4,1,Low,School,Near,Female,Good,Good,High,2,1,Good
13,47,57,0,5,1,5,0,Low,School,Medium,Female,Average,Average,Medium,5,2,Average
22,78,57,0,7,3,2,1,High,Graduate,Near,Male,Good,Good,High,4,3,Good
9,68,48,1,5,1,1,0,Low,Graduate,Far,Male,Average,Average,Medium,0,1,Average
32,85,89,1,8,2,4,0,High,Graduate,Near,Female,Excellent,Excellent,High,2,0,Excellent
1,34,3,1,5,0,4,0,High,School,Near,Male,Poor,Poor,Low,0,1,Poor
32,83,82,1,8,4,5,1,Medium,Graduate,Far,Female,Excellent,Excellent,High,3,0,Excellent
8,64,55,1,5,2,5,0,High,School,Near,Male,Average,Average,Medium,4,0,Average
12,69,55,0,5,1,3,1,Low,School,Far,Female,Average,Average,Medium,0,2,Average
18,75,76,1,7,2,5,1,Low,Graduate,Far,Male,Good,Good,High,3,2,Good
14,64,38,1,6,2,2,0,High,School,Medium,Male,Average,Average,Medium,5,0,Average
13,65,37,1,5,1,4,1,High,Graduate,Near,Female,Average,Average,Medium,4,0,Average
2,27,35,1,5,0,3,1,High,Graduate,Medium,Female,Poor,Poor,Low,4,0,Poor
12,67,46,0,5,1,4,0,Medium,Graduate,Far,Female,Average,Average,Medium,0,0,Average
8,53,40,0,6,1,2,0,Medium,Postgraduate,Medium,Female,Average,Average,Medium,4,3,Average
36,86,92,1,8,3,1,1,High,School,Near,Female,Excellent,Excellent,High,5,1,Excellent
9,69,39,1,5,1,4,1,High,School,Near,Female,Average,Average,Medium,2,0,Average
20,72,66,1,6,2,3,0,Low,Postgraduate,Medium,Male,Good,Good,High,4,0,Good
38,95,92,1,7,3,1,0,Medium,Graduate,Far,Male,Excellent,Excellent,High,5,1,Excellent
23,72,61,0,6,3,5,1,Low,Postgraduate,Near,Male,Good,Good,High,2,3,Good
22,82,65,0,7,2,5,1,Medium,School,Near,Female,Good,Good,High,4,3,Good
5,23,4,1,4,0,2,0,High,School,Near,Male,Poor,Poor,Low,2,2,Poor
28,99,88,1,8,3,1,1,Low,School,Medium,Male,Excellent,Excellent,High,0,3,Excellent
24,86,75,0,7,3,1,0,Medium,Postgraduate,Medium,Male,Excellent,Excellent,High,2,0,Excellent
10,68,45,1,6,2,4,0,Medium,Postgraduate,Medium,Female,Average,Average,Medium,1,1,Average
9,50,35,1,6,2,2,1,High,Graduate,Near,Male,Average,Average,Medium,4,1,Average
21,69,58,0,6,2,1,0,Medium,Postgraduate,Medium,Male,Good,Good,High,5,2,Good
29,92,81,1,7,2,4,1,Low,Graduate,Medium,Male,Excellent,Excellent,High,0,1,Excellent
35,96,75,1,8,2,5,1,Medium,Postgraduate,Medium,Male,Excellent,Excellent,High,1,3,Excellent
30,86,99,0,8,2,2,1,Medium,Postgraduate,Far,Female,Excellent,Excellent,High,2,0,Excellent
8,66,53,1,6,1,4,0,Low,Graduate,Far,Male,Average,Average,Medium,0,1,Average
22,71,76,1,6,2,3,1,Medium,School,Far,Male,Good,Good,High,3,1,Good
7,35,37,0,3,0,3,0,Medium,Graduate,Near,Male,Poor,Poor,Low,3,3,Poor
27,82,84,1,8,3,2,1,Medium,School,Far,Male,Excellent,Excellent,High,2,3,Excellent
16,77,79,0,6,2,4,1,Low,Graduate,Medium,Male,Good,Good,High,3,3,Good
15,55,51,1,5,1,1,0,Low,School,Medium,Female,Average,Average,Medium,0,3,Average
35,89,92,0,8,2,5,1,Low,Postgraduate,Medium,Male,Excellent,Excellent,High,3,0,Excellent
21,74,74,0,7,3,1,0,Medium,Graduate,Far,Male,Good,Good,High,5,0,Good
2,49,34,1,5,1,1,0,Medium,Postgraduate,Near,Male,Poor,Poor,Low,2,0,Poor
9,46,51,0,5,1,4,1,Medium,Postgraduate,Medium,Male,Average,Average,Medium,0,0,Average
24,91,84,0,7,4,5,1,High,School,Far,Female,Excellent,Excellent,High,2,2,Excellent
5,28,12,1,3,0,2,0,Low,School,Medium,Female,Poor,Poor,Low,1,3,Poor
13,67,58,0,6,2,4,0,High,School,Far,Male,Average,Average,Medium,3,0,Average
14,60,57,0,5,1,3,0,High,School,Far,Male,Average,Average,Medium,0,1,Average
27,95,95,1,7,3,5,1,Medium,School,Far,Female,Excellent,Excellent,High,5,1,Excellent
15,58,39,1,5,2,2,0,Low,School,Far,Female,Average,Average,Medium,2,2,Average
10,68,40,0,5,2,2,0,Low,Graduate,Far,Male,Average,Average,Medium,2,3,Average
37,98,78,0,8,2,1,1,High,Graduate,Far,Female,Excellent,Excellent,High,0,0,Excellent
39,86,95,0,8,4,2,0,High,Postgraduate,Medium,Male,Excellent,Excellent,High,3,2,Excellent
38,95,86,1,7,3,3,0,Low,Postgraduate,Medium,Female,Excellent,Excellent,High,2,0,Excellent
13,68,38,1,5,1,3,0,High,School,Near,Female,Average,Average,Medium,3,3,Average
7,38,16,1,3,1,1,1,High,School,Far,Male,Poor,Poor,Low,0,0,Poor
15,45,52,1,5,1,1,0,Medium,School,Medium,Male,Average,Average,Medium,4,0,Average
30,89,95,1,8,2,2,1,Low,Postgraduate,Far,Male,Excellent,Excellent,High,3,0,Excellent
27,82,78,0,7,3,4,1,Low,Postgraduate,Far,Male,Excellent,Excellent,High,0,3,Excellent
32,81,86,1,8,4,5,1,Medium,School,Far,Female,Excellent,Excellent,High,1,0,Excellent
21,73,69,1,6,2,3,0,Low,Graduate,Medium,Male,Good,Good,High,5,3,Good
32,81,77,0,7,3,3,0,Low,School,Medium,Female,Excellent,Excellent,High,5,2,Excellent
18,70,63,0,6,2,2,0,Low,Postgraduate,Far,Female,Good,Good,High,3,0,Good
18,65,78,1,6,3,2,1,Low,Postgraduate,Far,Female,Good,Good,High,5,1,Good
16,76,66,1,6,3,1,0,High,School,Medium,Male,Good,Good,High,1,3,Good
16,66,73,0,6,3,5,0,Low,Postgraduate,Far,Female,Good,Good,High,1,1,Good
16,77,68,0,6,3,5,0,Medium,Postgraduate,Medium,Female,Good,Good,High,4,3,Good
1,23,8,1,3,1,5,0,High,Graduate,Near,Male,Poor,Poor,Low,3,1,Poor
12,68,41,1,6,2,5,0,High,Graduate,Near,Male,Average,Average,Medium,4,1,Average
25,98,95,1,7,3,2,0,Low,Postgraduate,Near,Male,Excellent,Excellent,High,0,3,Excellent
7,42,25,0,4,0,2,0,Medium,Postgraduate,Far,Male,Poor,Poor,Low,5,3,Poor
23,79,78,0,6,2,2,0,Medium,School,Near,Female,Good,Good,High,4,0,Good
32,93,75,1,8,3,1,0,Medium,School,Far,Female,Excellent,Excellent,High,3,1,Excellent
14,61,40,0,6,2,1,0,Medium,School,Far,Female,Average,Average,Medium,3,1,Average
15,82,63,0,6,2,5,1,High,Postgraduate,Medium,Female,Good,Good,High,3,1,Good
30,92,89,0,8,3,1,1,Medium,Postgraduate,Far,Male,Excellent,Excellent,High,3,1,Excellent
36,98,88,0,8,3,1,0,High,Postgraduate,Near,Male,Excellent,Excellent,High,3,2,Excellent
23,67,79,0,6,2,5,1,Low,School,Medium,Female,Good,Good,High,0,0,Good
2,20,25,0,4,1,5,0,High,School,Near,Female,Poor,Poor,Low,5,3,Poor
35,93,92,1,7,2,3,1,High,School,Far,Female,Excellent,Excellent,High,2,1,Excellent
23,71,75,1,6,3,3,0,High,Graduate,Medium,Female,Good,Good,High,5,0,Good
8,59,39,0,6,1,4,1,Medium,Postgraduate,Medium,Male,Average,Average,Medium,0,0,Average
8,48,50,0,6,2,5,1,High,School,Medium,Male,Average,Average,Medium,3,0,Average
29,84,89,1,8,2,3,1,High,School,Near,Female,Excellent,Excellent,High,0,2,Excellent
24,99,93,1,8,4,3,0,High,Postgraduate,Near,Female,Excellent,Excellent,High,4,0,Excellent
12,65,57,1,5,2,5,0,Low,Postgraduate,Far,Male,Average,Average,Medium,5,0,Average
8,45,40,0,5,1,5,0,Medium,Graduate,Near,Female,Average,Average,Medium,5,3,Average
9,55,52,0,6,1,1,0,High,School,Far,Male,Average,Average,Medium,3,1,Average
9,54,42,0,6,1,4,0,Low,Postgraduate,Near,Female,Average,Average,Medium,4,1,Average
20,82,64,1,7,3,5,1,Low,Postgraduate,Medium,Male,Good,Good,High,1,1,Good
30,82,93,1,8,2,2,0,Low,Postgraduate,Near,Male,Excellent,Excellent,High,4,3,Excellent
20,69,74,1,7,2,1,1,High,School,Medium,Male,Good,Good,High,4,0,Good
24,87,82,1,8,4,1,0,Low,School,Medium,Female,Excellent,Excellent,High,4,3,Excellent
9,62,59,0,5,2,2,0,Medium,Graduate,Medium,Male,Average,Average,Medium,1,1,Average
8,63,50,0,5,2,5,1,High,Postgraduate,Near,Female,Average,Average,Medium,1,1,Average
11,62,50,0,5,2,1,1,Low,Graduate,Medium,Female,Average,Average,Medium,2,0,Average
25,88,85,0,8,2,1,1,High,Graduate,Far,Female,Excellent,Excellent,High,3,2,Excellent
24,70,72,1,7,3,5,0,Low,School,Far,Female,Good,Good,High,0,1,Good
3,20,4,1,3,1,4,0,High,School,Far,Female,Poor,Poor,Low,5,0,Poor
4,39,37,1,3,0,1,1,High,Graduate,Medium,Female,Poor,Poor,Low,2,2,Poor
6,47,37,1,4,1,4,1,High,Postgraduate,Near,Male,Poor,Poor,Low,2,2,Poor
22,82,73,1,6,2,5,1,High,Postgraduate,Near,Female,Good,Good,High,1,1,Good
38,87,94,1,8,4,4,1,Low,School,Medium,Female,Excellent,Excellent,High,4,1,Excellent
21,75,63,0,7,3,1,0,Low,Postgraduate,Medium,Female,Good,Good,High,1,3,Good
6,48,5,1,3,0,5,0,Low,School,Far,Male,Poor,Poor,Low,2,0,Poor
8,60,36,1,6,2,2,1,Medium,Postgraduate,Medium,Male,Average,Average,Medium,0,1,Average
17,67,64,0,7,2,4,1,Low,Graduate,Near,Female,Good,Good,High,5,3,Good
20,76,71,1,7,3,4,1,Low,School,Medium,Male,Good,Good,High,4,0,Good
22,68,56,1,6,2,1,1,Low,Postgraduate,Near,Female,Good,Good,High,2,1,Good
8,65,46,1,6,2,4,1,Low,Graduate,Near,Male,Average,Average,Medium,4,3,Average
2,47,0,1,3,1,1,0,High,Graduate,Medium,Female,Poor,Poor,Low,3,0,Poor
